 pose_Rx, pose_Ry
-0.28,0.06
-0.288,0.063
-0.298,0.06
-0.297,0.061
-0.296,0.065
-0.3,0.063
-0.301,0.065
-0.31,0.069
-0.316,0.069
-0.313,0.069
-0.311,0.069
-0.299,0.069
-0.307,0.065
-0.304,0.067
-0.303,0.066
-0.308,0.063
-0.313,0.064
-0.319,0.065
-0.326,0.068
-0.322,0.065
-0.333,0.059
-0.346,0.062
-0.353,0.067
-0.366,0.073
-0.379,0.07
-0.407,0.073
-0.42,0.082
-0.421,0.09
-0.429,0.098
-0.426,0.094
-0.444,0.083
-0.447,0.086
-0.446,0.082
-0.426,0.077
-0.364,0.073
-0.298,0.077
-0.279,0.089
-0.253,0.103
-0.228,0.096
-0.177,0.097
-0.116,0.101
-0.024,0.112
0.074,0.099
0.113,0.104
0.111,0.108
0.102,0.106
0.107,0.1
0.111,0.103
0.064,0.096
0.009,0.093
-0.068,0.096
-0.077,0.077
-0.106,0.083
-0.1,0.08
-0.099,0.08
-0.106,0.079
-0.131,0.074
-0.129,0.074
-0.119,0.078
-0.122,0.077
-0.097,0.074
-0.089,0.079
-0.053,0.085
0.002,0.137
0.046,0.126
0.043,0.109
0.056,0.095
0.033,0.088
0.046,0.089
0.057,0.082
0.049,0.082
0.053,0.082
0.062,0.079
0.078,0.075
0.063,0.073
0.082,0.071
0.077,0.074
0.072,0.073
0.079,0.076
0.107,0.074
0.093,0.076
0.101,0.077
0.095,0.076
0.085,0.082
0.081,0.089
0.052,0.08
0.032,0.086
0.003,0.097
-0.029,0.104
-0.027,0.101
-0.034,0.092
-0.036,0.087
-0.023,0.092
-0.018,0.084
-0.028,0.081
-0.034,0.076
-0.014,0.079
-0.01,0.08
-0.029,0.076
-0.01,0.086
-0.034,0.095
-0.097,0.093
-0.133,0.097
-0.155,0.118
-0.175,0.128
-0.162,0.132
-0.182,0.102
-0.194,0.104
-0.195,0.1
-0.21,0.096
-0.258,0.089
-0.285,0.089
-0.278,0.093
-0.28,0.088
-0.283,0.086
-0.274,0.089
-0.265,0.089
-0.262,0.092
-0.261,0.094
-0.264,0.09
-0.262,0.086
-0.256,0.087
-0.237,0.089
-0.206,0.094
-0.196,0.097
-0.216,0.1
-0.193,0.103
-0.185,0.105
-0.19,0.099
-0.173,0.103
-0.164,0.101
-0.157,0.1
-0.117,0.088
-0.09,0.073
-0.079,0.057
-0.072,0.032
-0.086,0.024
-0.086,0.017
-0.07,0.02
-0.059,0.028
-0.051,0.044
-0.049,0.054
-0.035,0.06
-0.054,0.063
-0.023,0.072
-0.027,0.077
-0.033,0.084
0.011,0.103
0.043,0.101
0.049,0.099
0.033,0.096
0.049,0.085
0.063,0.091
0.072,0.102
0.118,0.116
0.147,0.143
0.215,0.188
0.315,0.228
0.381,0.262
0.452,0.296
0.495,0.331
0.528,0.342
0.577,0.348
0.572,0.371
0.503,0.388
0.485,0.389
0.462,0.384
0.441,0.379
0.43,0.395
0.439,0.41
0.323,0.42
0.237,0.461
0.144,0.52
-0.218,0.32
-0.246,0.311
-0.272,0.297
-0.282,0.285
-0.299,0.281
-0.31,0.28
-0.319,0.276
-0.326,0.274
-0.335,0.259
-0.338,0.232
-0.343,0.21
-0.352,0.187
-0.346,0.18
-0.346,0.174
-0.344,0.175
-0.357,0.18
-0.364,0.172
-0.368,0.17
-0.367,0.165
-0.352,0.17
-0.359,0.152
-0.354,0.148
-0.349,0.155
-0.334,0.15
-0.329,0.139
-0.334,0.094
-0.323,0.021
-0.28,-0.045
-0.257,-0.061
-0.254,-0.063
-0.264,-0.06
-0.276,-0.065
-0.283,-0.08
-0.296,-0.097
-0.296,-0.08
-0.312,-0.082
-0.331,-0.07
-0.349,-0.059
-0.361,-0.042
-0.361,-0.034
-0.359,-0.027
-0.359,-0.019
-0.357,-0.017
-0.358,-0.016
-0.363,-0.016
-0.362,-0.017
-0.362,-0.015
-0.35,-0.012
-0.348,-0.008
-0.345,-0.009
-0.347,-0.014
-0.357,-0.015
-0.355,-0.016
-0.355,-0.014
-0.356,-0.015
-0.351,-0.01
-0.35,-0.006
-0.352,0.001
-0.355,0.001
-0.35,0.008
-0.357,0.003
-0.376,0.008
-0.349,0.016
-0.337,0.01
-0.342,0.027
-0.334,0.049
-0.332,0.056
-0.324,0.049
-0.311,0.046
-0.264,0.052
-0.256,0.055
-0.248,0.056
-0.259,0.062
-0.25,0.074
-0.256,0.073
-0.252,0.083
-0.266,0.085
-0.268,0.089
-0.28,0.095
-0.303,0.091
-0.324,0.099
-0.314,0.144
-0.337,0.181
-0.363,0.24
-0.367,0.274
-0.361,0.324
-0.441,0.518
-0.542,0.526
-0.526,0.532
-0.507,0.534
-0.51,0.512
-0.517,0.514
-0.531,0.52
-0.552,0.527
-0.56,0.531
-0.569,0.524
-0.583,0.518
-0.642,0.495
-0.697,0.445
-0.727,0.447
-0.767,0.425
-0.766,0.436
-0.728,0.454
-0.702,0.469
-0.722,0.469
-0.688,0.473
-0.788,0.359
