 pose_Rx, pose_Ry
-0.814,0.385
-0.831,0.415
-0.854,0.43
-0.881,0.442
-0.942,0.45
-0.986,0.466
-0.99,0.485
-1.904,1.315
-1.514,1.223
-1.378,1.146
-1.308,1.083
-1.222,0.995
-1.191,0.965
-1.209,0.935
-1.23,0.922
-1.222,0.912
-1.222,0.909
-1.222,0.9
-1.233,0.886
-1.24,0.877
-1.243,0.871
-1.228,0.862
-1.226,0.855
-1.232,0.846
-1.222,0.847
-1.222,0.834
-1.221,0.812
-1.223,0.803
-1.227,0.792
-1.218,0.779
-1.202,0.768
-1.2,0.768
-1.194,0.762
-1.182,0.754
-1.176,0.747
-1.171,0.713
-1.159,0.675
-1.159,0.633
-1.158,0.608
-1.163,0.59
-1.17,0.59
-1.176,0.598
-1.191,0.598
-1.209,0.566
-1.199,0.536
-1.215,0.545
-1.168,0.499
-1.148,0.476
-1.163,0.448
-0.553,-0.731
-0.556,-0.718
-0.936,-1.089
-1.007,-0.907
-1.069,-1.061
-1.069,-0.836
-1.025,-0.821
-0.988,-0.819
-0.823,-0.775
-0.662,-0.9
-0.628,-0.323
-0.675,-0.724
-0.696,-0.705
-0.717,-0.708
-0.742,-0.703
-0.765,-0.701
-0.792,-0.709
-0.862,-0.711
-0.887,-0.726
-0.929,-0.737
-0.956,-0.755
-0.973,-0.734
-1.015,-0.735
-1.063,-0.718
-1.099,-0.714
-1.142,-0.711
-1.156,-0.714
-1.165,-0.71
-1.171,-0.715
-1.174,-0.712
-1.157,-0.712
-1.159,-0.715
-1.168,-0.713
-1.17,-0.714
-1.178,-0.699
-1.185,-0.68
-1.199,-0.677
-1.212,-0.671
-1.209,-0.669
-1.168,-0.665
-1.153,-0.629
-1.292,-0.576
-1.407,-0.534
-1.415,-0.538
-1.377,-0.562
-1.301,-0.597
-1.257,-0.621
-1.213,-0.659
-1.136,-0.686
-1.09,-0.712
-1.014,-0.728
-0.959,-0.753
-0.876,-0.768
-0.833,-0.796
-0.881,-0.664
-0.832,-0.684
-0.799,-0.703
-0.765,-0.724
-0.745,-0.731
-0.661,-0.853
-0.585,-0.892
-0.373,-0.905
-0.369,-0.313
-0.405,-0.328
-0.409,-0.307
-0.413,-0.31
-0.411,-0.3
-0.403,-0.302
-0.393,-0.297
-0.398,-0.308
-0.376,-0.3
-0.378,-0.301
-0.377,-0.312
-0.368,-0.301
-0.362,-0.301
-0.367,-0.311
-0.377,-0.308
-0.369,-0.307
-0.361,-0.322
-0.369,-0.332
-0.308,-0.323
-0.141,-0.305
-0.247,-0.32
-0.227,-0.311
-0.238,-0.337
-0.232,-0.337
-0.225,-0.32
-0.215,-0.312
-0.204,-0.309
-0.213,-0.327
-0.208,-0.328
-0.216,-0.347
-0.218,-0.346
-0.236,-0.346
-0.247,-0.353
-0.26,-0.352
-0.3,-0.362
-0.321,-0.373
-0.337,-0.372
-0.385,-0.381
-0.415,-0.386
-0.423,-0.386
-0.424,-0.388
-0.428,-0.393
-0.428,-0.39
-0.441,-0.396
-0.451,-0.402
-0.46,-0.403
-0.459,-0.395
-0.462,-0.4
-0.465,-0.391
-0.464,-0.391
-0.454,-0.383
-0.437,-0.383
-0.435,-0.39
-0.427,-0.373
-0.423,-0.378
-0.427,-0.378
-0.433,-0.378
-0.434,-0.385
-0.433,-0.387
-0.45,-0.4
-0.429,-0.38
-0.413,-0.372
-0.406,-0.366
-0.425,-0.387
-0.446,-0.393
-0.468,-0.393
-0.493,-0.4
-0.475,-0.4
-0.471,-0.406
-0.487,-0.427
-0.488,-0.416
-0.487,-0.426
-0.488,-0.415
-0.494,-0.421
-0.48,-0.419
-0.49,-0.422
-0.501,-0.438
-0.497,-0.433
-0.472,-0.42
-0.458,-0.416
-0.461,-0.417
-0.438,-0.411
-0.432,-0.411
-0.426,-0.412
-0.419,-0.405
-0.409,-0.402
-0.194,-0.357
-0.23,-0.37
-0.234,-0.348
-0.251,-0.325
-0.268,-0.316
-0.28,-0.332
-0.31,-0.342
-0.334,-0.343
-0.348,-0.345
-0.37,-0.357
-0.381,-0.368
-0.407,-0.38
-0.419,-0.383
-0.437,-0.398
-0.429,-0.391
-0.438,-0.4
-0.45,-0.417
-0.441,-0.413
-0.443,-0.415
-0.442,-0.42
-0.438,-0.409
-0.435,-0.42
-0.432,-0.414
-0.425,-0.411
-0.414,-0.41
-0.417,-0.408
-0.391,-0.4
-0.344,-0.377
-0.207,-0.329
-0.224,-0.345
-0.229,-0.347
-0.224,-0.338
-0.218,-0.342
-0.239,-0.359
-0.239,-0.352
-0.239,-0.349
-0.231,-0.351
-0.23,-0.339
-0.242,-0.348
-0.24,-0.353
-0.243,-0.374
-0.24,-0.394
-0.237,-0.375
-0.251,-0.339
-0.267,-0.331
-0.268,-0.322
-0.28,-0.345
-0.278,-0.345
-0.282,-0.356
-0.269,-0.347
-0.276,-0.36
-0.266,-0.35
-0.269,-0.36
-0.269,-0.354
-0.262,-0.358
-0.26,-0.353
-0.252,-0.344
-0.262,-0.355
-0.257,-0.348
-0.254,-0.352
-0.253,-0.354
-0.25,-0.358
-0.243,-0.355
-0.247,-0.361
-0.233,-0.362
-0.246,-0.353
-0.245,-0.369
-0.246,-0.387
-0.228,-0.385
-0.226,-0.385
-0.226,-0.373
-0.243,-0.356
-0.273,-0.354
-0.277,-0.353
-0.269,-0.344
-0.267,-0.335
-0.277,-0.351
-0.26,-0.33
-0.258,-0.352
-0.255,-0.355
-0.251,-0.36
-0.258,-0.35
-0.252,-0.352
