 pose_Rx, pose_Ry
-0.148,0.077
-0.142,0.077
-0.146,0.078
-0.143,0.08
-0.145,0.081
-0.148,0.077
-0.148,0.075
-0.156,0.077
-0.152,0.074
-0.15,0.077
-0.156,0.078
-0.152,0.075
-0.153,0.078
-0.154,0.075
-0.149,0.077
-0.154,0.076
-0.153,0.081
-0.155,0.074
-0.152,0.073
-0.155,0.074
-0.151,0.072
-0.152,0.073
-0.157,0.077
-0.156,0.078
-0.155,0.076
-0.152,0.076
-0.151,0.08
-0.151,0.077
-0.151,0.08
-0.151,0.076
-0.148,0.07
-0.153,0.071
-0.158,0.078
-0.153,0.074
-0.155,0.072
-0.163,0.072
-0.157,0.07
-0.162,0.071
-0.156,0.065
-0.158,0.069
-0.156,0.069
-0.159,0.065
-0.163,0.069
-0.164,0.068
-0.161,0.065
-0.166,0.067
-0.166,0.068
-0.166,0.071
-0.158,0.072
-0.165,0.07
-0.169,0.072
-0.17,0.069
-0.163,0.07
-0.167,0.068
-0.163,0.074
-0.168,0.071
-0.166,0.07
-0.166,0.072
-0.16,0.074
-0.162,0.072
-0.162,0.073
-0.159,0.074
-0.158,0.076
-0.157,0.075
-0.156,0.081
-0.156,0.075
-0.162,0.077
-0.164,0.077
-0.161,0.081
-0.164,0.079
-0.173,0.076
-0.173,0.072
-0.172,0.076
-0.175,0.071
-0.173,0.076
-0.179,0.067
-0.182,0.072
-0.186,0.069
-0.185,0.081
-0.193,0.077
-0.185,0.075
-0.188,0.079
-0.196,0.076
-0.192,0.078
-0.188,0.082
-0.191,0.089
-0.185,0.081
-0.177,0.078
-0.176,0.084
-0.17,0.085
-0.165,0.082
-0.154,0.08
-0.15,0.077
-0.146,0.069
-0.141,0.067
-0.148,0.066
-0.145,0.064
-0.148,0.068
-0.15,0.069
-0.152,0.066
-0.156,0.068
-0.154,0.069
-0.159,0.066
-0.161,0.069
-0.164,0.068
-0.162,0.07
-0.163,0.072
-0.164,0.07
-0.164,0.074
-0.164,0.068
-0.171,0.069
-0.161,0.066
-0.162,0.066
-0.165,0.062
-0.168,0.065
-0.163,0.065
-0.16,0.068
-0.167,0.068
-0.165,0.067
-0.164,0.066
-0.166,0.07
-0.173,0.067
-0.171,0.064
-0.178,0.065
-0.168,0.067
-0.168,0.067
-0.172,0.069
-0.167,0.065
-0.171,0.062
-0.186,0.057
-0.172,0.059
-0.17,0.058
-0.171,0.066
-0.171,0.063
-0.168,0.064
-0.173,0.069
-0.183,0.068
-0.174,0.07
-0.174,0.065
-0.174,0.067
-0.166,0.061
-0.167,0.066
-0.167,0.062
-0.169,0.062
-0.17,0.06
-0.173,0.062
-0.171,0.06
-0.17,0.062
-0.171,0.064
-0.173,0.06
-0.173,0.061
-0.174,0.058
-0.174,0.056
-0.168,0.053
-0.17,0.058
-0.173,0.057
-0.168,0.059
-0.166,0.059
-0.164,0.06
-0.166,0.063
-0.165,0.058
-0.163,0.058
-0.168,0.057
-0.167,0.058
-0.165,0.053
-0.165,0.054
-0.162,0.055
-0.17,0.058
-0.174,0.055
-0.175,0.058
-0.179,0.057
-0.175,0.055
-0.178,0.058
-0.175,0.051
-0.182,0.046
-0.19,0.044
-0.194,0.047
-0.184,0.047
-0.18,0.049
-0.176,0.051
-0.181,0.051
-0.18,0.052
-0.178,0.05
-0.182,0.051
-0.179,0.055
-0.18,0.053
-0.186,0.055
-0.185,0.057
-0.181,0.053
-0.18,0.057
-0.182,0.054
-0.186,0.055
-0.189,0.054
-0.187,0.054
-0.178,0.057
-0.176,0.052
-0.18,0.051
-0.179,0.056
-0.185,0.055
-0.182,0.054
-0.179,0.053
-0.177,0.053
-0.179,0.053
-0.183,0.059
-0.181,0.053
-0.182,0.054
-0.18,0.055
-0.182,0.054
-0.185,0.052
-0.183,0.056
-0.186,0.055
-0.19,0.05
-0.2,0.049
-0.197,0.05
-0.184,0.051
-0.186,0.052
-0.195,0.053
-0.194,0.057
-0.187,0.057
-0.188,0.06
-0.184,0.06
-0.18,0.058
-0.182,0.057
-0.178,0.053
-0.174,0.059
-0.176,0.055
-0.172,0.061
-0.172,0.063
-0.177,0.057
-0.176,0.058
-0.17,0.058
-0.175,0.061
-0.17,0.057
-0.173,0.058
-0.174,0.058
-0.171,0.06
-0.171,0.057
-0.171,0.058
-0.174,0.059
-0.178,0.055
-0.177,0.054
-0.173,0.052
-0.18,0.052
-0.173,0.05
-0.176,0.051
-0.179,0.055
-0.177,0.056
-0.182,0.051
-0.185,0.055
-0.193,0.056
-0.202,0.053
-0.21,0.049
-0.23,0.05
-0.24,0.046
-0.234,0.048
-0.241,0.048
-0.245,0.056
-0.24,0.055
-0.236,0.052
-0.225,0.052
-0.222,0.056
-0.217,0.055
-0.226,0.055
-0.228,0.052
-0.223,0.056
-0.231,0.057
-0.226,0.051
-0.22,0.055
-0.223,0.047
-0.217,0.05
-0.218,0.053
-0.215,0.05
-0.217,0.053
-0.222,0.051
-0.222,0.051
-0.214,0.053
-0.225,0.049
-0.226,0.049
-0.225,0.059
-0.221,0.054
