 pose_Rx, pose_Ry
-0.222,-0.136
-0.236,-0.235
-0.214,-0.228
-0.199,-0.211
-0.209,-0.209
-0.215,-0.209
-0.22,-0.214
-0.215,-0.21
-0.209,-0.214
-0.209,-0.223
-0.217,-0.222
-0.211,-0.22
-0.211,-0.238
-0.206,-0.233
-0.207,-0.253
-0.207,-0.255
-0.221,-0.267
-0.233,-0.259
-0.227,-0.271
-0.239,-0.276
-0.25,-0.281
-0.258,-0.299
-0.26,-0.344
-0.194,-0.312
-0.176,-0.287
-0.284,-0.271
-0.282,-0.257
-0.264,-0.263
-0.269,-0.269
-0.274,-0.265
-0.267,-0.264
-0.259,-0.257
-0.26,-0.272
-0.256,-0.256
-0.238,-0.263
-0.252,-0.267
-0.249,-0.254
-0.235,-0.253
-0.237,-0.262
-0.236,-0.248
-0.222,-0.238
-0.216,-0.271
-0.218,-0.256
-0.213,-0.258
-0.217,-0.267
-0.211,-0.256
-0.199,-0.249
-0.207,-0.254
-0.211,-0.262
-0.203,-0.252
-0.197,-0.248
-0.203,-0.251
-0.2,-0.237
-0.193,-0.245
-0.192,-0.26
-0.19,-0.254
-0.183,-0.256
-0.181,-0.247
-0.186,-0.249
-0.184,-0.226
-0.186,-0.244
-0.188,-0.239
-0.183,-0.239
-0.173,-0.23
-0.175,-0.246
-0.174,-0.266
-0.186,-0.268
-0.18,-0.275
-0.151,-0.295
-0.141,-0.296
-0.147,-0.291
-0.144,-0.279
-0.157,-0.285
-0.154,-0.284
-0.158,-0.274
-0.162,-0.282
-0.163,-0.28
-0.159,-0.28
-0.155,-0.278
-0.16,-0.275
-0.166,-0.279
-0.155,-0.253
-0.163,-0.282
-0.15,-0.241
-0.161,-0.273
-0.167,-0.274
-0.158,-0.265
-0.152,-0.259
-0.162,-0.25
-0.151,-0.273
-0.15,-0.257
-0.132,-0.262
-0.148,-0.236
-0.143,-0.248
-0.137,-0.24
-0.156,-0.251
-0.14,-0.261
-0.139,-0.235
-0.14,-0.246
-0.138,-0.257
-0.129,-0.25
-0.131,-0.253
-0.139,-0.242
-0.138,-0.259
-0.13,-0.234
-0.139,-0.236
-0.137,-0.245
-0.132,-0.238
-0.131,-0.258
-0.119,-0.253
-0.13,-0.24
-0.124,-0.253
-0.118,-0.233
-0.133,-0.241
-0.121,-0.24
-0.125,-0.253
-0.128,-0.251
-0.127,-0.242
-0.132,-0.258
-0.118,-0.238
-0.129,-0.247
-0.128,-0.25
-0.13,-0.244
-0.129,-0.241
-0.116,-0.235
-0.125,-0.222
-0.14,-0.238
-0.13,-0.24
-0.138,-0.234
-0.139,-0.245
-0.128,-0.222
-0.137,-0.229
-0.141,-0.223
-0.137,-0.226
-0.148,-0.224
-0.144,-0.24
-0.135,-0.228
-0.137,-0.231
-0.144,-0.241
-0.134,-0.249
-0.137,-0.256
-0.13,-0.236
-0.135,-0.245
-0.135,-0.256
-0.137,-0.264
-0.131,-0.249
-0.134,-0.26
-0.129,-0.248
-0.13,-0.234
-0.136,-0.226
-0.136,-0.232
-0.142,-0.247
-0.142,-0.249
-0.14,-0.272
-0.128,-0.249
-0.126,-0.254
-0.138,-0.26
-0.117,-0.243
-0.118,-0.251
-0.127,-0.238
-0.135,-0.242
-0.139,-0.256
-0.143,-0.259
-0.124,-0.233
-0.127,-0.241
-0.136,-0.236
-0.136,-0.261
-0.127,-0.255
-0.129,-0.242
-0.135,-0.238
-0.131,-0.244
-0.131,-0.227
-0.139,-0.261
-0.12,-0.264
-0.112,-0.246
-0.127,-0.25
-0.137,-0.237
-0.142,-0.229
-0.133,-0.239
-0.138,-0.227
-0.126,-0.243
-0.137,-0.254
-0.117,-0.257
-0.115,-0.245
-0.128,-0.257
-0.115,-0.235
-0.114,-0.239
-0.126,-0.238
-0.137,-0.255
-0.121,-0.256
-0.132,-0.242
-0.137,-0.239
-0.138,-0.249
-0.132,-0.25
-0.138,-0.246
-0.143,-0.227
-0.147,-0.209
-0.142,-0.24
-0.14,-0.238
-0.152,-0.229
-0.146,-0.239
-0.138,-0.233
-0.14,-0.243
-0.141,-0.224
-0.14,-0.23
-0.131,-0.225
-0.132,-0.214
-0.12,-0.251
-0.109,-0.247
-0.094,-0.225
-0.115,-0.222
-0.127,-0.254
-0.101,-0.237
-0.104,-0.226
-0.114,-0.225
-0.12,-0.238
-0.121,-0.252
-0.103,-0.239
-0.115,-0.241
-0.098,-0.229
-0.108,-0.22
-0.113,-0.246
-0.104,-0.244
-0.086,-0.234
-0.112,-0.226
-0.118,-0.222
-0.118,-0.235
-0.119,-0.232
-0.124,-0.241
-0.099,-0.235
-0.114,-0.222
-0.122,-0.212
-0.129,-0.225
-0.136,-0.237
-0.133,-0.216
-0.14,-0.22
-0.132,-0.215
-0.126,-0.224
-0.135,-0.202
-0.132,-0.213
-0.147,-0.217
-0.139,-0.212
-0.137,-0.216
-0.143,-0.21
-0.145,-0.24
-0.126,-0.23
-0.131,-0.246
-0.12,-0.219
-0.135,-0.246
-0.112,-0.203
-0.131,-0.213
-0.132,-0.219
-0.135,-0.218
-0.135,-0.205
-0.133,-0.218
-0.137,-0.235
-0.092,-0.249
-0.097,-0.25
-0.095,-0.261
-0.094,-0.256
-0.103,-0.261
-0.101,-0.266
-0.098,-0.267
-0.107,-0.258
-0.105,-0.267
-0.103,-0.27
-0.115,-0.279
-0.108,-0.254
-0.137,-0.238
-0.144,-0.234
-0.146,-0.219
-0.152,-0.243
-0.153,-0.239
-0.149,-0.251
-0.15,-0.233
-0.152,-0.241
-0.158,-0.26
-0.148,-0.251
-0.157,-0.244
-0.156,-0.267
