 pose_Rx, pose_Ry
-0.221,0.058
-0.221,0.061
-0.224,0.061
-0.218,0.06
-0.227,0.06
-0.219,0.064
-0.219,0.062
-0.227,0.063
-0.227,0.061
-0.227,0.061
-0.23,0.062
-0.231,0.064
-0.237,0.059
-0.229,0.053
-0.234,0.062
-0.231,0.06
-0.227,0.061
-0.218,0.059
-0.221,0.057
-0.225,0.061
-0.226,0.063
-0.219,0.057
-0.226,0.06
-0.227,0.066
-0.226,0.059
-0.226,0.06
-0.219,0.057
-0.223,0.061
-0.222,0.061
-0.231,0.062
-0.228,0.057
-0.231,0.055
-0.228,0.056
-0.228,0.051
-0.23,0.057
-0.23,0.054
-0.231,0.059
-0.229,0.055
-0.234,0.05
-0.22,0.059
-0.23,0.059
-0.226,0.054
-0.231,0.057
-0.226,0.057
-0.23,0.057
-0.218,0.056
-0.225,0.058
-0.218,0.056
-0.22,0.058
-0.223,0.06
-0.223,0.055
-0.218,0.058
-0.22,0.058
-0.227,0.06
-0.228,0.061
-0.229,0.061
-0.224,0.057
-0.232,0.056
-0.22,0.059
-0.23,0.058
-0.227,0.063
-0.228,0.059
-0.227,0.055
-0.225,0.054
-0.226,0.052
-0.222,0.052
-0.216,0.048
-0.201,0.045
-0.198,0.043
-0.196,0.05
-0.19,0.05
-0.183,0.045
-0.196,0.055
-0.205,0.052
-0.216,0.049
-0.248,0.059
-0.246,0.061
-0.262,0.06
-0.256,0.063
-0.245,0.055
-0.208,0.055
-0.176,0.056
-0.148,0.063
-0.15,0.068
-0.157,0.075
-0.154,0.082
-0.165,0.097
-0.172,0.096
-0.156,0.102
-0.152,0.099
-0.128,0.093
-0.126,0.093
-0.145,0.091
-0.188,0.096
-0.221,0.089
-0.223,0.09
-0.216,0.089
-0.177,0.083
-0.132,0.067
-0.12,0.059
-0.108,0.056
-0.127,0.049
-0.175,0.06
-0.184,0.065
-0.236,0.075
-0.245,0.079
-0.232,0.075
-0.219,0.08
-0.176,0.068
-0.165,0.061
-0.14,0.064
-0.145,0.069
-0.151,0.067
-0.173,0.062
-0.201,0.063
-0.215,0.074
-0.211,0.09
-0.182,0.078
-0.152,0.068
-0.151,0.067
-0.165,0.071
-0.184,0.073
-0.2,0.08
-0.231,0.086
-0.234,0.088
-0.21,0.089
-0.181,0.081
-0.153,0.072
-0.14,0.075
-0.122,0.066
-0.113,0.068
-0.108,0.068
-0.107,0.064
-0.113,0.066
-0.109,0.066
-0.092,0.063
-0.073,0.075
-0.049,0.079
-0.064,0.074
-0.039,0.074
-0.042,0.074
-0.038,0.075
-0.044,0.081
-0.034,0.081
-0.028,0.08
-0.01,0.073
0.014,0.072
0.02,0.068
0.023,0.064
-0.0,0.062
-0.013,0.055
0.011,0.053
0.042,0.058
0.026,0.061
-0.005,0.059
-0.022,0.06
-0.035,0.057
-0.047,0.057
-0.032,0.057
-0.036,0.055
-0.042,0.063
-0.06,0.058
-0.08,0.059
-0.095,0.056
-0.099,0.052
-0.108,0.052
-0.107,0.048
-0.109,0.048
-0.103,0.047
-0.113,0.041
-0.109,0.046
-0.119,0.045
-0.116,0.045
-0.127,0.046
-0.131,0.049
-0.136,0.053
-0.143,0.058
-0.148,0.059
-0.132,0.06
-0.128,0.059
-0.131,0.065
-0.138,0.066
-0.156,0.066
-0.164,0.072
-0.158,0.068
-0.162,0.061
-0.17,0.053
-0.185,0.06
-0.176,0.06
-0.184,0.052
-0.18,0.049
-0.166,0.052
-0.11,0.055
-0.049,0.054
-0.038,0.054
-0.023,0.048
-0.008,0.046
0.015,0.038
0.009,0.036
0.016,0.027
0.012,0.03
0.022,0.04
-0.006,0.043
-0.017,0.047
-0.022,0.049
-0.045,0.053
-0.06,0.049
-0.062,0.046
-0.083,0.043
-0.09,0.041
-0.096,0.037
-0.101,0.033
-0.086,0.029
-0.09,0.027
-0.107,0.026
-0.13,0.03
-0.163,0.03
-0.191,0.031
-0.22,0.027
-0.229,0.026
-0.241,0.026
-0.246,0.021
-0.257,0.013
-0.254,0.007
-0.255,0.01
-0.283,0.012
-0.308,0.018
-0.342,0.02
-0.431,0.026
-0.488,0.017
-0.48,0.023
-0.442,0.034
-0.41,0.054
-0.394,0.061
-0.366,0.066
-0.361,0.074
-0.349,0.076
-0.349,0.085
-0.333,0.079
-0.332,0.071
-0.32,0.066
-0.275,0.063
-0.233,0.062
-0.235,0.067
-0.242,0.065
-0.241,0.061
-0.244,0.065
-0.25,0.079
-0.28,0.074
-0.274,0.081
-0.262,0.077
-0.25,0.079
-0.254,0.079
-0.259,0.075
-0.257,0.082
-0.254,0.085
-0.254,0.086
-0.263,0.086
-0.262,0.087
-0.27,0.087
-0.275,0.082
-0.275,0.079
-0.266,0.077
-0.27,0.073
-0.268,0.069
-0.263,0.068
-0.271,0.072
-0.272,0.071
-0.279,0.069
-0.279,0.063
-0.284,0.067
-0.286,0.064
-0.287,0.063
-0.291,0.058
-0.291,0.062
-0.299,0.061
-0.293,0.061
-0.289,0.061
-0.278,0.065
-0.278,0.061
